project_id,client_name,consulting_area,project_value,duration_months,status,client_satisfaction,start_date,end_date,consultant_assigned
1,Client Corp 1,HR,839236,15,Planning,9.106025375324235,2024-01-07,2024-06-02,Consultant 1
2,Client Corp 2,Finance,1894026,12,Active,9.348905379201684,2024-01-21,2024-06-16,Consultant 2
3,Client Corp 3,Finance,1762303,4,Active,9.076980459827546,2024-02-04,2024-06-30,Consultant 3
4,Client Corp 4,HR,1101323,16,Active,9.008573023831111,2024-02-18,2024-07-14,Consultant 4
5,Client Corp 5,Strategy,1653187,6,Planning,7.995386988336006,2024-03-03,2024-07-28,Consultant 5
6,Client Corp 6,Marketing,862808,7,Active,8.76357688265834,2024-03-17,2024-08-11,Consultant 6
7,Client Corp 7,Marketing,1267318,11,Completed,8.419619471964232,2024-03-31,2024-08-25,Consultant 7
8,Client Corp 8,Finance,1935364,15,Active,7.180384470611129,2024-04-14,2024-09-08,Consultant 8
9,Client Corp 9,Strategy,1368015,12,Active,8.047809648828357,2024-04-28,2024-09-22,Consultant 9
10,Client Corp 10,Finance,1762402,16,Active,9.425482947433187,2024-05-12,2024-10-06,Consultant 10
11,Client Corp 11,Operations,314055,11,Active,8.249038384966639,2024-05-26,2024-10-20,Consultant 11
12,Client Corp 12,Technology,865629,3,Active,9.758332486091039,2024-06-09,2024-11-03,Consultant 12
13,Client Corp 13,Technology,288236,12,Completed,9.397271556896335,2024-06-23,2024-11-17,Consultant 13
14,Client Corp 14,Finance,1996745,12,Completed,8.357773017150478,2024-07-07,2024-12-01,Consultant 14
15,Client Corp 15,Finance,1707081,8,Completed,9.000567006373325,2024-07-21,2024-12-15,Consultant 15
16,Client Corp 16,HR,725395,15,Completed,8.894523796602025,2024-08-04,2024-12-29,Consultant 16
17,Client Corp 17,HR,1152895,5,Completed,8.43535935856911,2024-08-18,2025-01-12,Consultant 17
18,Client Corp 18,HR,304461,9,Active,9.92128566504972,2024-09-01,2025-01-26,Consultant 18
19,Client Corp 19,Finance,1795904,17,Completed,7.0212246284772135,2024-09-15,2025-02-09,Consultant 19
20,Client Corp 20,HR,580232,8,Completed,8.120851644279613,2024-09-29,2025-02-23,Consultant 20
21,Client Corp 21,Marketing,395011,6,Completed,9.283859727115338,2024-10-13,2025-03-09,Consultant 21
22,Client Corp 22,Finance,1363054,9,Completed,8.62925863014642,2024-10-27,2025-03-23,Consultant 22
23,Client Corp 23,HR,733468,8,Active,9.612226605921881,2024-11-10,2025-04-06,Consultant 23
24,Client Corp 24,Technology,495921,11,Active,9.911312496282646,2024-11-24,2025-04-20,Consultant 24
25,Client Corp 25,Operations,1911913,9,Active,8.855770232401136,2024-12-08,2025-05-04,Consultant 25
26,Client Corp 26,Strategy,474792,5,Active,9.210971323089336,2024-12-22,2025-05-18,Consultant 26
27,Client Corp 27,Technology,1228226,12,Active,8.138191715135846,2025-01-05,2025-06-01,Consultant 27
28,Client Corp 28,Operations,227288,7,Active,7.022472889268433,2025-01-19,2025-06-15,Consultant 28
29,Client Corp 29,Technology,668539,12,Planning,8.921053096137058,2025-02-02,2025-06-29,Consultant 29
30,Client Corp 30,Strategy,469681,3,Active,9.439962985994264,2025-02-16,2025-07-13,Consultant 30
